"Vorname";"Nachname";"Jahrgang";"Partei";"Wahlkreis";"Bundesland";"Listenplatz";
"Jutta";"Berlinghof";1961;"GRUENE";246;"Bayern";19;
"Christopher";"Bernd";1986;"PBC";;"Rheinland-Pfalz";6;
"Wolfgang Herbert Josef";"Berndt";1949;"DIE LINKE";232;;;
"Marc";"Bernhard";1972;"CDU";;"Baden-Wuerttemberg";9;
"Martin";"Bernmeiser";1952;"VIOLETTEN";;"Bayern";16;
"Wolfgang";"Berns";1948;"FDP";173;"Hessen";10;
"Florian";"Bernschneider";1986;"FDP";51;"Niedersachsen";7;
"Juergen Heinrich";"Bernsen";1963;;77;;;
"Patrick";"Bernstein";1973;"NPD";221;;;
"Ute";"Bertram";1961;"CDU";;"Niedersachsen";49;
"Karl-Heinz";"Besemann";1950;"DVU";;"Niedersachsen";2;
"Harald";"Bestehorn";1962;"NPD";239;;;
"Markus";"Bestgen";1964;"FDP";98;"Nordrhein-Westfalen";27;
"Horst";"Bethge";1935;"DIE LINKE";;"Hamburg";4;
"Cornelia";"Bethke";1966;"SPD";;"Hessen";35;
"Lorenz Goesta";"Beutin";1978;"DIE LINKE";10;;;
"Christian";"Beyer";1974;"SPD";232;"Bayern";27;
"Lars";"Beyer";1969;"NPD";;"Brandenburg";9;
"Peter";"Beyer";1970;"CDU";106;"Nordrhein-Westfalen";53;
"Stephan";"Beyer";1985;;192;;;
"Stephan";"Beyer";1985;"PIRATEN";;"Thueringen";8;
"Bettina";"Bieder";1980;"NPD";81;;;
"Christian";"Bieler";1985;"NPD";198;;;
"KLaus";"Biener";1959;"GRUENE";;"Mecklenburg-Vorpommern";8;
"Xenia";"Biereichelt";1989;"BueSo";153;"Sachsen";6;
"Arnhild";"Biesenbach";1955;"CDU";;"Niedersachsen";39;
"Hans-Dieter";"Biester";1945;"RENTNER";;"Hamburg";2;
"Michael";"Bihler";1979;"CSU";;"Bayern";48;
"Steffen";"Bilger";1979;"CDU";265;;;
"Rainer";"Biller";1965;"NPD";245;;;
"Karin";"Binder";1957;"DIE LINKE";271;"Baden-Wuerttemberg";3;
"Martin";"Binder";1980;"CDU";;"Rheinland-Pfalz";16;
"Sascha";"Binder";1983;"SPD";263;"Baden-Wuerttemberg";29;
"Lothar";"Binding";1950;"SPD";274;"Baden-Wuerttemberg";14;
"Peter";"Bing";1951;"RENTNER";;"Schleswig-Holstein";2;
"Clemens";"Binninger";1962;"CDU";260;;;
"Katharina";"Birk";1967;"DIE LINKE";;"Baden-Wuerttemberg";19;
"Matthias W.";"Birkwald";1961;"DIE LINKE";95;"Nordrhein-Westfalen";10;
"Florian";"Bischof";1977;"PIRATEN";;"Berlin";1;
"Joachim";"Bischoff";1944;"DIE LINKE";19;;;
"Peter";"Bitsch";1950;"REP";;"Hessen";5;
"Dr. Guenther Wolfgang";"Bittel";1953;"MLPD";;"Nordrhein-Westfalen";23;
"Thomas";"Blaesche";1978;"FDP";205;"Rheinland-Pfalz";10;
"Robert";"Blaesing";1982;"FDP";22;"Hamburg";11;
"Kurt Juergen";"Blank";1970;"NPD";257;;;
"Bernhard";"Blankenheim";1951;"NPD";96;;;
"Bernd";"Blech";1961;"REP";142;;;
"Thomas";"Blechschmidt";1965;;221;;;
"Dr. Wolfgang";"Blender";1955;"FDP";;"Rheinland-Pfalz";26;
"Peter";"Bleser";1952;"CDU";201;"Rheinland-Pfalz";4;
"Stephan";"Bliemel";1978;"SPD";12;"Mecklenburg-Vorpommern";5;
"Prof. Dr. Frank";"Bliss";1956;"GRUENE";199;;;
"Detlev";"Blitz";1958;"SPD";187;"Hessen";18;
"Guenter";"Blocks";1958;"DIE LINKE";126;;;
"Dr. Helmut";"Bloecker";1945;"GRUENE";51;;;
"Marion Else";"Blohm";1953;"DVU";;"Bremen";3;
"Frank";"Blome";1973;"NPD";41;;;
"Barbara";"Blotenberg";1960;"GRUENE";144;;;
"Heidrun";"Bluhm";1958;"DIE LINKE";17;"Mecklenburg-Vorpommern";3;
"Claudia";"Blum";1968;"SPD";175;"Hessen";15;
"Klaus";"Blume";1944;"RRP";226;;;
"Sebastian";"Blumenthal";1974;"FDP";5;"Schleswig-Holstein";3;
"Volker";"Blumentritt";1946;"SPD";194;"Thueringen";6;
"Juergen";"Blumer";1958;"MLPD";117;;;
"Steffen";"Bockhahn";1978;"DIE LINKE";14;;;
"Claudia";"Boegel";1961;"FDP";125;"Nordrhein-Westfalen";17;
"Melanie";"Boeger";1971;"DIE LINKE";;"Niedersachsen";9;
"Werner";"Boehler";1964;"SPD";137;"Nordrhein-Westfalen";41;
"Dr. Dorothea";"Boehm";1962;"FAMILIE";;"Nordrhein-Westfalen";2;
"Walter";"Boehm";1959;"NPD";219;;;
"Prof. Dr. Maria";"Boehmer";1950;"CDU";208;"Rheinland-Pfalz";2;
"Helmut";"Boehmler";1952;"MLPD";103;;;
"Georg";"Boehner";1957;"DIE LINKE";237;;;
"Bjoern Lars";"Boehning";1978;"SPD";84;;;
"Manfred";"Boerm";1950;"NPD";45;"Niedersachsen";9;
"Wolfgang";"Boernsen";1942;"CDU";1;"Schleswig-Holstein";4;
"Peter";"Boers";1944;"NPD";57;;;
"Ralph";"Boes";1957;;76;;;
"Jorg";"Boettcher";1958;;48;;;
"Suentje";"Boettcher";1981;"PIRATEN";;"Saarland";8;
"Viktor";"Boettcher";1952;"SPD";;"Hessen";34;
"Dr. Martin";"Boettger";1947;"GRUENE";166;;;
"Karl-Heinz";"Bok";1951;"oedp";264;"Baden-Wuerttemberg";11;
"Gerd";"Bollmann";1947;"SPD";142;;;
"Alexander";"Bonde";1975;"GRUENE";283;"Baden-Wuerttemberg";8;
"Keno";"Borde";1982;"SPD";26;"Niedersachsen";28;
"Klaus-Peter";"Borgwardt";1953;"MLPD";;"Baden-Wuerttemberg";1;
"Sonja Angela";"Borgwardt";1951;"MLPD";;"Nordrhein-Westfalen";24;
"Helmut";"Born";1952;"DIE LINKE";107;;;
"Markus";"Born";1982;"NPD";106;;;
"Thomas";"Born";1983;"BueSo";;"Sachsen";10;
"Raimund Frank";"Borrmann";1960;"NPD";15;;;
"Johannes Martin Maria";"Bortlisz-Dickhoff";1957;"GRUENE";92;;;
"Wolfgang";"Bosbach";1952;"CDU";101;"Nordrhein-Westfalen";7;
"Hans-Joachim";"Bosold";1952;"NPD";175;;;
"Dr. Arnold Klaus Siegmund Georg";"Bosse von";1947;"GRUENE";15;;;
"Karin";"Bothe";1965;"FDP";;"Rheinland-Pfalz";25;
"Martin";"Bothe";1968;"Tierschutz";;"Niedersachsen";2;
"Reiner";"Bousonville";1961;"GRUENE";180;;;
"Stefan Alois";"Boxler";1964;"GRUENE";164;"Sachsen";6;
"Nicole";"Bracht-Bendt";1959;"FDP";37;"Niedersachsen";6;
"Norbert";"Brackmann";1954;"CDU";10;"Schleswig-Holstein";11;
"Klaus Peter";"Braehmig";1957;"CDU";159;"Sachsen";6;
"Rolf";"Braeuer";1955;"GRUENE";46;;;
"Dr. Lutz";"Braeutigam";1968;"GRUENE";242;;;
"Matthias Walter Heinrich";"Brand";1961;"FAMILIE";;"Bayern";9;
"Michael";"Brand";1973;"CDU";175;"Hessen";18;
"Sascha";"Brandhoff";1982;"PIRATEN";;"Hessen";6;
"Bernd";"Brandl";1972;"BP";;"Bayern";14;
"Dr. Reinhard";"Brandl";1977;"CSU";217;;;
"Klaus";"Brandner";1949;"SPD";132;"Nordrhein-Westfalen";6;
"Achim";"Brandt";1965;"Volksabst.";;"Baden-Wuerttemberg";4;
"Fridolin";"Brandt";1945;"DIE LINKE";216;;;
"Helmut";"Brandt";1950;"CDU";89;"Nordrhein-Westfalen";29;
"Holger Ernst";"Brandt";1989;;77;;;
"Gerald";"Branghofer";1983;"DVU";;"Nordrhein-Westfalen";3;
"Max Erich";"Branghofer";1945;"DVU";;"Nordrhein-Westfalen";1;
"Willi";"Brase";1951;"SPD";149;"Nordrhein-Westfalen";5;
"Stephen";"Brauer";1970;"FDP";268;"Baden-Wuerttemberg";18;
"Dr. Ralf";"Brauksiepe";1967;"CDU";140;"Nordrhein-Westfalen";10;
"Dr. Bernhard";"Braun";1958;"GRUENE";208;;;
"Dr. Helge Reinhold";"Braun";1972;"CDU";174;"Hessen";10;
"Petra";"Braun";1957;"MLPD";126;;;
"Volker";"Braun";1970;"NPD";120;;;
"Manfred";"Brauner";1960;"DIE LINKE";39;"Niedersachsen";10;
"von Harald-Ingo";"Bredow";1949;"BP";;"Bayern";47;
"Ulrich Johannes";"Brehme";1966;"oedp";;"Niedersachsen";2;
"Heike";"Brehmer";1962;"CDU";69;"Sachsen-Anhalt";6;
"Manfred Helmut";"Breidbach";1968;"NPD";107;"Nordrhein-Westfalen";4;
"Rolf";"Breidenbach";1955;"FDP";80;"Berlin";11;
"Klaus";"Breil";1945;"FDP";226;"Bayern";13;
"Elke";"Breitenbach";1961;"DIE LINKE";;"Berlin";9;
"Thomas Achim";"Breitenfellner";1982;"CSU";;"Bayern";45;
"Adolf Wilhelm";"Breitmeier";1937;"ADM";186;;;
"Hermann";"Brem";1961;"GRUENE";221;"Bayern";16;
"Klaus";"Bremer";1952;"MLPD";;"Hessen";4;
"Dr. Gerd";"Brenner";1949;"GRUENE";110;;;
"Ernst";"Brenning";1952;"CDU";;"Berlin";10;
"Harald";"Bresch";1962;;67;;;
"Frank";"Bresonik";1969;"FAMILIE";;"Nordrhein-Westfalen";11;
"Eveline";"Breyer";1982;"CDU";;"Rheinland-Pfalz";38;
"Dr. Andreas";"Brie";1950;"DIE LINKE";66;;;
"Ralph";"Brinkhaus";1968;"CDU";132;"Nordrhein-Westfalen";45;
